sample,fastq_1,fastq_2,fastq_dir,genome
GCA_010673125,,,,/mnt/cidgoh-object-storage/hackathon/seqqc/genome_asm/GCA_010673125.1/GCA_010673125.1.fa.gz
GCA_010798115,,,,/mnt/cidgoh-object-storage/hackathon/seqqc/genome_asm/GCA_010798115.1/GCA_010798115.1.fa.gz
